gs1_ai_number,gs1_ai_regex,gs1_ai_format,gs1_ai_format_terms,gs1_ai_format_length_varies,gs1_ai_format_length_total_with_ai_and_fnc1,gs1_ai_format_length_min,gs1_ai_format_length_max,gs1_ai_term1_format,gs1_ai_term1_length_fixed,gs1_ai_term2_format,gs1_ai_term2_datatype,gs1_ai_term2_length_fixed,gs1_ai_term2_length_variable,gs1_ai_term3_format,gs1_ai_term3_datatype,gs1_ai_term3_length_fixed,gs1_ai_term3_length_variable,gs1_ai_FNC1_required,gs1_ai_description,gs1_ai_name,gs1_ai_note,gs1_ai_url
3233,^3233(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Length or first dimension, yards (variable measure trade item)",LENGTH (yd),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3233?lang=en
3234,^3234(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Length or first dimension, yards (variable measure trade item)",LENGTH (yd),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3234?lang=en
3235,^3235(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Length or first dimension, yards (variable measure trade item)",LENGTH (yd),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3235?lang=en
3240,^3240(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Width, diameter, or second dimension, inches (variable measure trade item)",WIDTH (in),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3240?lang=en
3241,^3241(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Width, diameter, or second dimension, inches (variable measure trade item)",WIDTH (in),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3241?lang=en
3242,^3242(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Width, diameter, or second dimension, inches (variable measure trade item)",WIDTH (in),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3242?lang=en
3243,^3243(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Width, diameter, or second dimension, inches (variable measure trade item)",WIDTH (in),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3243?lang=en
3244,^3244(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Width, diameter, or second dimension, inches (variable measure trade item)",WIDTH (in),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3244?lang=en
3245,^3245(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Width, diameter, or second dimension, inches (variable measure trade item)",WIDTH (in),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3245?lang=en
3250,^3250(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Width, diameter, or second dimension, feet (variable measure trade item)",WIDTH (ft),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3250?lang=en
3251,^3251(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Width, diameter, or second dimension, feet (variable measure trade item)",WIDTH (ft),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3251?lang=en
3252,^3252(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Width, diameter, or second dimension, feet (variable measure trade item)",WIDTH (ft),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3252?lang=en
3253,^3253(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Width, diameter, or second dimension, feet (variable measure trade item)",WIDTH (ft),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3253?lang=en
3254,^3254(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Width, diameter, or second dimension, feet (variable measure trade item)",WIDTH (ft),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3254?lang=en
3255,^3255(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Width, diameter, or second dimension, feet (variable measure trade item)",WIDTH (ft),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3255?lang=en
3260,^3260(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Width, diameter, or second dimension, yards (variable measure trade item)",WIDTH (yd),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3260?lang=en
3261,^3261(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Width, diameter, or second dimension, yards (variable measure trade item)",WIDTH (yd),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3261?lang=en
3262,^3262(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Width, diameter, or second dimension, yards (variable measure trade item)",WIDTH (yd),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3262?lang=en
3263,^3263(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Width, diameter, or second dimension, yards (variable measure trade item)",WIDTH (yd),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3263?lang=en
3264,^3264(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Width, diameter, or second dimension, yards (variable measure trade item)",WIDTH (yd),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3264?lang=en
3265,^3265(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Width, diameter, or second dimension, yards (variable measure trade item)",WIDTH (yd),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3265?lang=en
3270,^3270(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, inches (variable measure trade item)",HEIGHT (in),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3270?lang=en
3271,^3271(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, inches (variable measure trade item)",HEIGHT (in),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3271?lang=en
3272,^3272(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, inches (variable measure trade item)",HEIGHT (in),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3272?lang=en
3273,^3273(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, inches (variable measure trade item)",HEIGHT (in),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3273?lang=en
3274,^3274(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, inches (variable measure trade item)",HEIGHT (in),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3274?lang=en
3275,^3275(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, inches (variable measure trade item)",HEIGHT (in),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3275?lang=en
3280,^3280(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, feet (variable measure trade item)",HEIGHT (ft),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3280?lang=en
3281,^3281(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, feet (variable measure trade item)",HEIGHT (ft),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3281?lang=en
3282,^3282(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, feet (variable measure trade item)",HEIGHT (ft),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3282?lang=en
3283,^3283(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, feet (variable measure trade item)",HEIGHT (ft),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3283?lang=en
3284,^3284(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, feet (variable measure trade item)",HEIGHT (ft),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3284?lang=en
3285,^3285(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, feet (variable measure trade item)",HEIGHT (ft),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3285?lang=en
3290,^3290(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, yards (variable measure trade item)",HEIGHT (yd),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3290?lang=en
3291,^3291(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, yards (variable measure trade item)",HEIGHT (yd),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3291?lang=en
3292,^3292(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, yards (variable measure trade item)",HEIGHT (yd),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3292?lang=en
3293,^3293(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, yards (variable measure trade item)",HEIGHT (yd),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3293?lang=en
3294,^3294(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, yards (variable measure trade item)",HEIGHT (yd),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3294?lang=en
3295,^3295(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, yards (variable measure trade item)",HEIGHT (yd),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3295?lang=en
3300,^3300(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Logistic weight, kilograms",GROSS WEIGHT (kg),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3300?lang=en
3301,^3301(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Logistic weight, kilograms",GROSS WEIGHT (kg),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3301?lang=en
3302,^3302(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Logistic weight, kilograms",GROSS WEIGHT (kg),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3302?lang=en
3303,^3303(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Logistic weight, kilograms",GROSS WEIGHT (kg),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3303?lang=en
3304,^3304(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Logistic weight, kilograms",GROSS WEIGHT (kg),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3304?lang=en
3305,^3305(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Logistic weight, kilograms",GROSS WEIGHT (kg),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3305?lang=en
3310,^3310(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Length or first dimension, metres","LENGTH (m), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3310?lang=en
3311,^3311(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Length or first dimension, metres","LENGTH (m), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3311?lang=en
3312,^3312(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Length or first dimension, metres","LENGTH (m), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3312?lang=en
3313,^3313(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Length or first dimension, metres","LENGTH (m), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3313?lang=en
3314,^3314(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Length or first dimension, metres","LENGTH (m), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3314?lang=en
3315,^3315(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Length or first dimension, metres","LENGTH (m), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3315?lang=en
3320,^3320(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Width, diameter, or second dimension, metres","WIDTH (m), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3320?lang=en
3321,^3321(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Width, diameter, or second dimension, metres","WIDTH (m), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3321?lang=en
3322,^3322(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Width, diameter, or second dimension, metres","WIDTH (m), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3322?lang=en
3323,^3323(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Width, diameter, or second dimension, metres","WIDTH (m), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3323?lang=en
3324,^3324(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Width, diameter, or second dimension, metres","WIDTH (m), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3324?lang=en
3325,^3325(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Width, diameter, or second dimension, metres","WIDTH (m), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3325?lang=en
3330,^3330(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, metres","HEIGHT (m), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3330?lang=en
3331,^3331(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, metres","HEIGHT (m), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3331?lang=en
3332,^3332(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, metres","HEIGHT (m), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3332?lang=en
3333,^3333(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, metres","HEIGHT (m), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3333?lang=en
